,word_guesses,first_pass,solution_words,solution
0,lago;costa;esca;api;aia,lago CC IA costa NT esca V AL api ET aia,La;goccia;costante;scava;la;pietà;ià,La goccia costante scava la pietà ià
1,sedia;capre;su,DA sedia RI capre su NTA,Dase;diarica;presunta,Dase diarica presunta
2,ari;buche;cereale,C ari buche E M I cereale,Caribù;che;emicereale,Caribù che emicereale
3,amo;radi;lari,UN amo ST radi lari T TE,Una;mostra;di;laritette,Una mostra di laritette
4,rada;teda,ST rada teda NDO,Strada;tedando,Strada tedando
5,tra;artemide;Ati,tra T T artemide L IC Ati,Trattar;temi;delicati,Trattar temi delicati
6,si;tema;dotto,si S tema R I dotto,Sistema;ridotto,Sistema ridotto
7,parti;tea;pinna;colo,parti tea pinna colo,Partite;a;pinacolo,Partite a pinacolo
8,atto;divi;aio;nato,PI atto divi TE L aio N nato,Piatto;di;vitelaio;nonnato,Piatto di vitelaio nonnato
9,Bi;linea;coni;ala,Bi linea coni N S ala TA,Bilinea;con;insalata,Bilinea con insalata
10,su;sardina,su A sardina NNI,Suasardi;nanni,Suasardi nanni
11,pantere;mine,C A pantere mine S I,Capant;ereminesi,Capant ereminesi
12,pala,RI pala,Ripa;lapalla,Ripa lapalla
13,scafi;ori;colo,DI scafi ori DI colo,Discafi;ordincolo,Discafi ordincolo
14,armi;anice,armi G anice RMI,Armigani;ce;rmi,Armigani ce rmi
15,lario;noci,I lario noci R,Ilario;Nocirir,Ilario Nocirir
16,cola;re;rame,S E cola re C A rame,Secolare;carame,Secolare carame
17,legge;aperto,legge R aperto SSE,Leggera;pertosse,Leggera pertosse
18,Pieve;ioni,IM Pieve S ioni,Impive;sioni,Impive sioni
19,nasi;ring;riva;il;lago,U nasi ring A P riva il lago,Una;siringa;priva;gli;ago,Una siringa priva gli 'ago
20,re;dama;sarda,F re D dama N sarda,Fredda;mansarda,Fredda mansarda
21,signore;somale,signore I O somale,Signoreioso;male,Signoreioso male
22,ceri;onda,D I ceri AF onda,Diceria;fonda,Diceria fonda
23,arrossita;fetta,MO arrossita F fetta,Mora;rossitta,Mora rossitta
24,re;camici;ettari;dita,re P LI camici ettari B A dita,Replica;micicetta;ribadita,Replica micicetta ribadita
25,treno;albero,O treno NC albero,Otre;non;calbe,Otre non calbe
26,su;dentista;di,su A dentista N di STI,Suadenti;standardi,Suadenti standardi
27,nata;eredi;rena;alto,U nata P eredi rena ICA alto UR,Una;tapere;direnaica;al;Tour,Una tapere direnaica al Tour
28,seri;col;medico;serio;nate,CA S seri col medico serio R D I nate,Casse;ricolme;di;cose;riordinate,Casse ricolme di cose riordinate
29,pesce;atto;otre;tino,pesce atto L otre N tino,Pe;seattolo;trentino,Pe seattolo trentino
30,vere;moli,A vere P RE moli,Avere;premioli,Avere premioli
31,sudan;esili;cieco;gole,sudan esili B I cieco N gole SI,Sudanesi;libici;e;congolesi,Sudanesi libici e congolesi
32,mici;ara;amaretto,A mici ZI ara FF amaretto,Amicizia;raffamaretto,Amicizia raffamaretto
33,Shaw;rasi;lista,Shaw U rasi M B O lista,Shawura;simbolista,Shawura simbolista
34,punti;in;va;or,S punti in NO: va T or,Spunti;innovatori,Spunti innovatori
35,con;attiva,con T attiva NI,Contatti;vani,Contatti vani
36,avidi;Ande;tini,N avidi CL Ande S tini,Navi;di;clandestini,Navi di clandestini
37,dente;aro;edile;nano,STU dente S aro AL edile G nano,Studentesaro;aledile;gi;nanano,Studentesaro aledile gi nanano
38,anta;casa;mina;zia,F anta STI casa mina L I zia,Fantastica;sama;milizia,Fantastica sama milizia
39,oca;nidi;gente,I oca nidi S E R gente,I;ocanidi;se;reggente,I ocanidi se reggente
40,netta;Bosio;esca,SCE netta Bosio C C esca,Scenetta;bosioccesca,Scenetta bosioccesca
41,rio;eco;agli,FU rio eco TT agli A,Furioe;cattaglia,Furioe cattaglia
42,lima;Esopo;asse;Rino,C lima T Esopo IR asse Rino SI,Clima;teso;poi;iraserinosi,Clima teso poi iraserinosi
43,lacca;Tampa;redi;ode,lacca DE Tampa LI TA redi M ode NA,L;accedetam;palitare;di;modena,L'accedetam palitare di modena
44,sacra;mele;ali,P E sacra R mele G ali,Pescar;mare;legali,Pescar mare legali
45,tori;Einaudi,O RA tori Einaudi A NI,Oratori;einaudi,Oratori einaudi
46,con;ultime;iri,I con S ultime iri,I;consulti;mieri,I consulti mieri
47,peri;come;catinella,peri OD I come R catinella,Periodico;mercatinella,Periodico mercatinella
48,reo;est;oste;carte,AE reo CH est oste C carte R RA,Aereo;che;stop;est;ancora;terra,Aereo che stop est ancora terra
49,anta;negri;articoli,P anta L O negri articoli A RO,Pantalone;grarit;colario,Pantalone grarit colario
50,tris;lui e lei;Ti,O tris lui e lei Ti,Otri;sluietiti,Otri sluietiti
51,campanelli,campanelli TI,Campa;nelli,Campa nelli
52,nani;cinesi;lare,U nani cinesi NGO lare,Un;anicine;singolare,Un anicine singolare
53,pali;in;con;ritto,pali N in con S C ritto,Palincon;scritto,Palincon scritto
54,alloro;rame;temi;Ra,P alloro rame N temi S E Ra,Pala;colorante;misera,Pala colorante misera
55,caraffa;teso;nidi;ago,CER caraffa teso MP A G nidi SV ago,Cercar;affatese;pomagni;di;svago,Cercar affatese pomagni di svago
56,ali;divo;Ontario;pedali,V ali divo L Ontario S pedali E RI,Validi;volontori;ospedalieri,Validi volontori ospedalieri
57,raggio;oca;otri;cava;anche,CO raggio S oca P otri cava M anche S,Coraggioso;capo;trica;vamanceschi,Coraggioso capo trica vamanceschi
58,maiali;scia;di;vite,T O maiali scia di vite LLO,Tomaia;liscia;di;vitello,Tomaia liscia di vitello
59,conte;nero;more;anno;are;geni;ori,conte nero A more S anno A M are I geni T ori,Con;tenero;amore;sanno;amare;i;genitori,Con tenero amore sanno amare i genitori
60,Eracle;Idra,N Eracle SS Idra,Nera;cresidra,Nera cresidra
61,corto;non;netta,AC corto non netta,Accorto;nonnetta,Accorto nonnetta
62,ancora;etto;onda,ancora P etto F onda TO,Ancorape;tofdato,Ancorape tofdato
63,sarde;testa;lima;re,U sarde testa BI lima NI E re,Usar;detestabili;maniere,Usar detestabili maniere
64,circo;ante,PO circo VI G ante,Pocirc;vigiante,Pocirc vigiante
65,pelli;scuri;onde;lessi;ossi,CA pelli scuri C onde IR IF lessi R ossi,Capelli;scuri;con;dei;riflessi;rossi,Capelli scuri con dei riflessi rossi
66,greti;somaro;lacci,greti somaro S O lacci,Greti;somarosò,Greti somarosò
67,nane;astri,P A nane R astri,Pananera;straripi,Pananera straripi
68,seno;ancora;pila,RO seno N ancora S pila TE,Rose;non;ancora;spilate,Rose non ancora spilate
69,ratto;arpa;alone,ratto P P arpa N T alone,Rattoppar;pantalone,Rattoppar pantalone
70,monili,monili R A,Monil;ira,Monil ira
71,toro;avi;rosa,S toro T avi GO rosa,Storotavigo;roasera,Storotavigo roasera
72,con;auto;viola,con C auto viola FF,Concauto;violà,Concauto violà
73,arca;odi;iti,M arca T odi V iti,Marcato;diviti,Marcato diviti
74,asta;federe;are,B asta PO federe DI are,Basta;pofe;dei;rediare,Basta pofe dei rediare
75,zie;dei;risi,A zie N dei NC risi,Aziende;in;crisi,Aziende in crisi
76,lame;tela;amaretto;radio;cere,lame N tela S M amaretto S radio S cere,Lamentela;smamare;tot;radische,Lamentela smamare tot radische
77,ami;soldi;aro;Po;ovoide,ami C O soldi P aro LE Po C ovoide,Amico;sol;di;parole;poco;video,Amico sol di parole poco video
78,traditore;Niobe,PRI traditore Niobe LE,Pritradito;renioble,Pritradito renioble
79,rovi;amo;mani;radi;rossi,T rovi amo L A mani E radi A rossi,Troviamo;la;maniera;di;Arossi,Troviamo la maniera di Arossi
80,tris;romani,VE tris P romani,Vetri;spromani,Vetri spromani
81,ibis;Enza;arti;ari;stanze;tiretti,C ibis Enza P arti C OL ari SO stanze tiretti NTI,Cibi;senza;particolari;sostanze;tirettinti,Cibi senza particolari sostanze tirettinti
82,in;armadio;in;ozio,in armadio BIL in ozio NI,Inarmadiobili;nozioni,Inarmadiobili nozioni
83,articoli;asso,FRE articoli asso SO,Freeart;coliasso,Freeart coliasso
84,sci;eroina,sci OP eroina TTO,Sciopero;in;atto,Sciopero in atto
85,redi;manico;ali,P redi manico M IN ali,Predimani;comunali,Predimani comunali
86,pera;Bosio;esca,O pera Bosio C C esca,Opera;bosioccesca,Opera bosioccesca
87,di;fu;sesto,di F fu sesto RIE,Diffuse;storie,Diffuse storie
88,scola;risi;Curie;Gene;rosi,scola risi Curie Gene rosi,Scolari;sicuri;e;generosi,Scolari sicuri e generosi
89,proiettile;serba,proiettile serba,Proietti;leser,Proietti leser
90,tela;tris;saggi,tela L I tris A E saggi,Telaliti;saesaggi,Telaliti saesaggi
91,sola;selezionatore;osa;dive,LI sola selezionatore I osa dive RNE,L;isola;selezionato;re;Ivone,L'isola selezionato re Ivone
92,indice;leva,QU indice SI leva,Quindicesile;vileva,Quindicesile vileva
93,avi;nidi;rame,T avi nidi C A rame,Tavinidi;ca;rarame,Tavinidi ca rarame
94,edera;ami;are,L edera TT ami L IT are,Le;derattà;militare,Le derattà militare
95,con;attore;rei;la,con QU I attore rei N C la LI,Conquietto;reir;enclali,Conquietto reir enclali
96,mattino;mitino;bolli;Era,mattino mitino bolli Era,Mattinati;monolie,Mattinati monolie
97,coni;fon;armo;corte;si;arco,coni CA fon I US armo DI corte si P OC arco,Con;i;cafoni;usar;modi;cortesi;poco;carco,Con i cafoni usar modi cortesi poco carco
98,orsi;Eros,orsi DE Eros SE,Orsiedee;rosse,Orsiedee rosse
99,picco;lauro;Po,picco lauro Po,Piccola;urop,Piccola urop
100,assi;arco;tini,M assi M arco N tini,Massima;ricontini,Massima ricontini
101,marcia;lenti,A marcia N SU lenti,Amari;cansulenti,Amari cansulenti
102,attiva;ali,attiva ND ali C I,Atti;vandalici,Atti vandalici
103,pesce;bus;tese,pesce bus tese,Pe;scebuste;sperate,Pe scebuste sperate
104,mesti;ciocche,D O mesti ciocche V A,Domestici;occhè,Domestici occhè
105,usa;proiettile,BL usa proiettile,Blusa;proiettile,Blusa proiettile
106,Boudriot;mante,FU R Boudriot R O mante,Furbo;driotromante,Furbo driotromante
107,avo;sardine;in,TR avo sardine LV in O,Travosar;din;elvino,Travosar din elvino
108,elica;tasti;teda;est,D elica tasti F teda L est E,Delicata;stifte;daleste,Delicata stifte daleste
109,nero;Ford;in;rio,nero F Ford in A rio,Nero;fodinario,Nero fodinario
110,oli;dalie;nani;Tampa,S oli dalie MA G nani Tampa CI,Solidali;e;magnaniti;pacci,Solidali e magnaniti pacci
111,coccinelle;rada;ile,A L coccinelle A rada P R ile,Alco;cinelli;e;radaprile,Alco cinelli e' radaprile
112,drago;medici;olle,SE drago C medici P olle,SED;drago;me;dicipolle,SED drago me dicipolle
113,viola;tibia;astri,viola S OT tibia N C astri,Violatos;tibiancastri,Violatos tibiancastri
114,onde;ultime,W onde RF ultime,Wunderful;time;magico;tempo,Wunderful time (magico tempo)
115,con;tris;traina;assi,S con tris traina TI assi RO,Scontri;strainati;a;S;Siro,Scontri strainati a S. Siro
116,nappa;mento;dio;arrossa,U nappa RTA mento dio T arrossa N Z E,Un;appartamento;di;Otrar;Rossane,Un appartamento di Otrar Rossane
117,ave;maniero;vino,ave R E maniero vino SE,Avere;manie;rovinose,Avere manie rovinose
118,nari;camini;aia,U nari C camini E aia NIO,Una;ricca;miniera;i;aioni,Una ricca miniera i' aioni
119,chine;nane;teda;chine;nane;teda;chine;nane;teda,chine F A U nane teda NTO,Chi;ne;fa;una;ne;tè;danto;Chi;ne;fa;una;ne;tè;danto;Chi;ne;fa;una;ne;tè;danto,Chi ne fa una ne tè danto
120,api;do;tiretti;tino,S api do M E tiretti S tino,Sapido;meti;rettistino,Sapido meti rettistino
121,polo;odi;ossa,A polo G odi ossa P PA,Apologo;di;O;Sappia,Apologo di O. Sappia
122,maniero;gorbi,RO maniero V I gorbi,Romani;e;rovigorbi,Romani e rovigorbi
123,vento;Amman;Todi;lord,E vento Amman T A Todi lord O,Evento;ammanatato;di;lordo,Evento ammanatato di lordo
124,voce;di;si,BI voce di SUI? si,Bivocedi;su;Iusi,Bivocedi su Iusi
125,maniero;severo;si,maniero severo N E si,Manierose;veronesi,Manierose veronesi
126,uovo;oca;lario,N uovo V oca BO lario,Nuovo;vocabolario,Nuovo vocabolario
127,pazzo;arpa;alone,S pazzo L arpa N T alone,Spazzolar;pantalone,Spazzolar pantalone
128,stie;tac,C O stie tac I,Costi;etachi,Costi etachi
129,tarme;menta;Rodi;Ra;stan;Scott;cori,tarme menta Rodi Ra stan Scott cori,Tar;mentarodir;asta;n;st;ancicor;i;cori,Tar mentarodir asta n st ancicor i cori
130,conta;monili,conta TTO monili V E,Contatto;monil;Ive,Contatto monil Ive
131,Volga;est;dente;aro,Volga R est U dente S aro ALE,Volgare;studentesaro;alegrare,Volgare studentesaro alegrare
132,bocca;ara,bocca A M ara,Bocca;amara,Bocca amara
133,barba,AL barba ND,Alba;rband,Alba rband
134,marcia;alare,A marcia MB alare,Amarci;ambalare,Amarci ambalare
135,ramo;tram;si,T ramo N tram S si,Tramontra;msssi,Tramontra msssi
136,lago;eco;are,CA lago S eco L are,Calaggio;scolare,Calaggio scolare
137,apro;scafi;usci,UN apro scafi usci TA,Una;prosa;fiuscita,Una prosa fiuscita
138,manica;monella;assi,IM manica monella O CL assi C I,Immani;camonelli;oclassici,Immani camonelli oclassici
139,lenti;doti,VA lenti doti E R I,Valenti;dotieri,Valenti dotieri
140,est;Pascoli,est RO Pascoli ND,Estrapa;scil,Estrapa scil
141,pesce;mostra;pie,pesce D RO mostra pie NO,Pe;scedrostra;pieno,Pe scedrostra pieno
142,aia;pila,G aia BIS pila,Gaia;bispilà,Gaia bispilà
143,activa;razione,C activa A E razione,Cactiva;aerazione,Cactiva aerazione
144,toro;mole,OT toro mole ICI,Otto;romole;icici,Otto romole icici
145,ossi;nari;ascari,ossi GE nari P ascari NI,Ossigenar;i;pascari,Ossigenar i pascari
146,cava;Lino;cernie,cava L Lino DI cernie GNA,Cavallino;di;Cerniera,Cavallino di Cerniera
147,un;quadro;nel;Tiziano,un quadro nel Tiziano,Un;quadro;nel;tiziano,Un quadro nel tiziano
148,lessi;nari,RI F lessi LU nari,Riflessi;lunari,Riflessi lunari
149,in;armadio;lepre;Messa,in armadio B I lepre Messa,Inarmadiobile;premessa,Inarmadiobile premessa
150,lega;ribes;Ero,PO lega U ribes C Ero,Polega;uribesce;roso,Polega uribesce roso
151,anca;rea;la;unta;arrossa;ito,M anca rea L la PP unta M EN arrossa B IL ito,Mancare;all;appuntamento;rossabile,Mancare all'appuntamento rossabile
152,re;la;fa,P re GIA la F fa,Pregiola;ffaffa,Pregiola ffaffa
153,golosi;etti,S O golosi L etti,Sogol;olietti,Sogol olietti
154,pia;tese;lario;rose,pia N tese C O lario M B rose,Piante;secolari;ombrose,Piante secolari ombrose
155,attori;acero;asta,PI attori C acero DIP asta,Piatto;ricacer;od;iposta,Piatto ricacer od iposta
156,marce;icona;tris;marce,SA marce icona L tris A marce I,Samarce;ico;naltra;samarcei,Samarce ico naltra samarcei
157,vite,GRA vite,Gravi;tetri,Gravi tetri
158,ari;posta;chela;ape;lessi,UN ari S posta chela S CI ape RP lessi,Una;risposta;che;lascia;perplessi,Una risposta che lascia perplessi
159,attori;edera,P I attori C edera,Piatto;ricedera,Piatto ricedera
160,la;scia;dei;mas,la scia dei mas TRO,L;ascia;dei;mastro,L'ascia dei mastro
161,Parker;scopa;sedile;ante,Parker O RE scopa E sedile V ante,Parkerores;scopa;es;elevante,Parkerores scopa es elevante
162,ellissi;mostra;anonimi;ori;va;ore;ente;ente,B ellissi mostra DI anonimi ori T RO va T ore C ente M ente,Bellissimo;stradianonimo;ritrovaro;tentemente,Bellissimo stradianonimo ritrovaro tentemente
163,mosche;mi,BOM mosche mi CA,Bommo;schemica,Bommo schemica
164,polli;dive;Rodi;moli,A M polli N E dive T Rodi moli NO,Ampolline;di;vetro;di;MOLINO,Ampolline di vetro di MOLINO
165,Pareto;asso,SAM Pareto asso SA,Sampa;retoassosa,Sampa retoassosa
166,Ro;testa;traditore,P Ro testa CI traditore,Protesta;citore,Protesta citore
167,ultime;nono,C ultime nono TI,Culti;meno;noti,Culti meno noti
168,indios;ovalo;terno;ore,indios I T R ovalo terno A M ore,In;Dio;si;trova;l;oterno;amore,In Dio si trova l'oterno amore
169,Esse;rotti;Tampa;Ci,Esse rotti Tampa Ci,Esser;ottima;pacci,Esser ottima pacci
170,odi;corti;vista,FOT odi corti NA vista VE,Foto;di;Cortina;vista;vele,Foto di Cortina vista vele
171,tre;rie;bastioni,V E tre rie DI bastioni NO,Vetrerie;di;bastino,Vetrerie di bastino
172,allieve;more;su;sullano;avidi,allieve R U more su S sullano I P avidi,Al;lieve;rumore;sussellano;i;pavidi,Al lieve rumore sussellano i pavidi
173,pero;pero,O pero pero ALE,Operope;roiale,Operope roiale
174,forte;nei;Ti;di;dardo,forte nei Ti di dardo,Forte;nei;tidardi;da;drogo,Forte nei tidardi da drogo
175,trave;sarde;serti;cani,AT trave R sarde serti A FRI cani,Attraversar;deserti;africani,Attraversar deserti africani
176,con;su;rossi;Bi;di;versi,con su rossi Bi di versi,Consuros;sibi;diversi,Consuros sibi diversi
177,Anna;ontano,C Anna C ontano,Cannac;ontano,Cannac ontano
178,rio;cipresso,B rio cipresso ALE,Brioci;presso,Brioci presso
179,porta;in;data;ondata,porta B L in data S F ondata,Porta;blindata;sfondata,Porta blindata sfondata
180,ellissi;leva;calvi,B ellissi leva DI calvi NO,Bellissile;vadical;vi;novano,Bellissile vadical vi novano
181,cast;rare;reti,cast U rare P A reti,Casturare;pareti,Casturare pareti
182,rotti;frappé,rotti A F frappé,Rotta;affrappe,Rotta affrappe
183,colli;catena,colli N E catena V E,Colline;catena;vele,Colline catena vele
184,crini;anta,PA N crini anta TA,Panci;ninantata,Panci ninantata
185,Po;ara;pipa;alone,Po R T ara M pipa N T alone,Portar;ampi;pantalone,Portar ampi pantalone
186,dio;Naiadi;Ra,O dio Naiadi T E Ra,Odiona;aditera,Odiona aditera
187,sardina;ori,PRU sardina NS ori,Prusardi;nansori,Prusardi nansori
188,lama;tram;ala;idea,lama E S tram ala C idea,La;maestra;malacidea,La maestra malacidea
189,ovino;odi;sesto,R ovino S odi S sesto,Rovinoso;dissesto,Rovinoso dissesto
190,bar;eco;porto,LI bar eco porto,Libar;eco;porto,Libar eco porto
191,rete;aura,PA rete SF aura,Parete;sfaura,Parete sfaura
192,ossa;microfono,GR ossa BI microfono,Grossa;bimicrofono,Grossa bimicrofono
193,vera;lanaio,vera lanaio,Verala;naio,Verala naio
194,activa;urla,C activa B urla,Cactiva;burla,Cactiva burla
195,tela;pitone;orso,ZE tela L pitone LD orso,Zetè;lapitone;del;Dorso,Zetè lapitone del Dorso
196,caschi;Mosa,BO C caschi U Mosa,Bocca;schiumosa,Bocca schiumosa
197,benna;prodigi,VI benna TO prodigi,Viben;natoprodi,Viben natoprodi
198,cunei;ibisco;tini,cunei N T ibisco T tini,Cuneinti;biscottini,Cuneinti biscottini
199,Ciad;Idalma;ami,S Ciad Idalma G ami N E,Scia;di;dimalagime,Scia di dimalagime
200,lato;tarme,lato tarme S A,La;tortar;mesa,La tortar mesa
201,piramidi;laghetto,A M piramidi CA laghetto,Ampi;rami;di;calagheto,Ampi rami di calagheto
202,amo;some;manico;ondine,F amo some R manico L ondine S E,Famoso;manager;colondine,Famoso manager colondine
203,ari;deboli,A M ari deboli,Amari;deboli,Amari deboli
204,alloro;gogna,V alloro R gogna,Valla;orgogna,Valla orgogna
205,serio;dio,ES serio dio SI,Esseri;odiosi,Esseri odiosi
206,ori;eco;Era,GL ori O eco NDI Era,Glorioe;condiera,Glorioe condiera
207,avo;ree;in;armadio;lepre;etto,L avo RA ree in armadio BI lepre C etto,Lavorare;è;inarmadioble;precetto,Lavorare è inarmadioble precetto
208,atto;cirano,atto cirano,Attico;rano,Attico rano
209,nano;satiro;Era,U nano I O satiro T Era,Una;noiosa;tirotera,Una noiosa tirotera
210,arca;nota;foro;sacco,arca nota foro sacco,Arcano;tao;forosacco,Arcano tao forosacco
211,lario;nati,A lario TTO nati,Alari;ottonati,Alari ottonati
212,ante;divi;negri;articoli,M ante L LO divi S O negri articoli A RO,Mantello;di;visone;grarit;coliar,Mantello di visone grarit coliar
213,cinesi;terra;cinesi;ara,cinesi O T terra SE cinesi F ara,Cine;si;otterrà;se;cin;si;farà,Cine si otterrà se cin si farà
214,in;avere;la;mini,in T avere D E la mini,Intavere;del;aminim,Intavere del aminim
215,osti;re;ori,B R osti re TT ori,Brost;irretitori,Brost irretitori
216,rampa;turate;muta,rampa turate muta,Rampaturà;temuta,Rampaturà temuta
217,arco;carene;pie,N arco T I carene R A pie,Narcotica;re;nerapié,Narcotica re nerapié
218,papera;ancora;per,papera N ancora SCO per TI,Paper;ana;ancora;scoperti,Paper ana ancora scoperti
219,testi;diva;risi;gala,testi diva risi gala,Testi;di;vari;sigalala,Testi di vari sigalala
220,nano;molla,U nano NI molla,Un;anonimo;llama,Un'anonimo llama
221,per;oppio;dito,S per P oppio U dito,Sperpoppo;giovidito,Sperpoppo giovidito
222,scolta;mora;ile,BA scolta M E mora B ile,Bascold;ametmorabile,Bascold ametmorabile
223,olla;esili;coni,C olla N T esili coni C O,Collante;siliconico,Collante siliconico
224,in;sardina,in VA sardina FFI,Invasardi;naffi,Invasardi naffi
225,aloe;con,V aloe con T A,Valo;economa,Valo economa
226,latore;nati,latore M I nati,Lator;eminati,Lator eminati
227,pesce;otri;tino,pesce F I L otri ES tino,Pe;triestino,Pesefiloto triestino
228,risi;cono;caco;sale,C risi E cono MI caco LOS sale,Crisi;economica;colossale,Crisi economica colossale
229,risi;divo;zio,C risi divo CA zio NE,Crisi;di;vocazione,Crisi di vocazione
230,narice;onesto;telefono;ali;iene;isola,U narice TT onesto R telefono V ali G iene isola I,Una;ricetto;non;estor;le;fonovaliografie;nei;solai;Una;ricetto;non;estor;le;fonovaliografie;nei;solai,Una ricetto non estor-le fonovaliografie nei solai
231,prati;caci;vile,prati caci vile,Pratica;civile,Pratica civile
232,rana;ori;ontano,G rana I ori C ontano,Granaio;ricontano,Granaio ricontano
233,Ra;artemide;cono,T Ra TT artemide cono MIA,Trattar;temi;d;economia,Trattar temi d'economia
234,ami;bolli;fata,ami bolli fata,Amibo;lifata,Amibo lifata
235,Tom;siepi;odi,Tom I O siepi S odi,Tomiosie;pissodi,Tomiosie pissodi
236,ave;intere;ostia;zie,ave R E intere S ostia TI zie,Avere;interessiati;zie,Avere interessiati zie
237,Ontario;pero,VOL Ontario pero SI,Volontori;operosi,Volontori operosi
238,bar;carene;re;tane,IM bar carene R re L O N tane,Imbarcar;ante;nella;nottane,Imbarcar ante nella nottane
239,re;oste;chiare,P re SS oste R chiare,Presso;ster;schiare,Presso ster schiare
240,gallo;nero,gallo nero SSO,Galloner;rosso,Galloner rosso
241,dea;Sordi,I dea Sordi A L E,Idea;sordiale,Idea sordiale
242,prati;re;agli;Belgio,prati C A re agli Belgio CO,Praticare;agli;bel;gioco,Praticare agli bel gioco
243,esca;lima;more,esca CO lima R more I,Escocoli;marmorei,Escocoli marmorei
244,squadra;mina,squadra mina,Squadra;minata,Squadra minata
245,lancia;ancora,lancia IN ancora TA,Lanciai;in;ancora,Lanciai in ancora
246,lame;di;Cina;in;dispensa;Bi,lame di Cina in dispensa Bi L E,La;medicina;dispensabile,La medicina dispensabile
247,star;re,Z star MO re,Star;mo;remore,Star mo remore
