,word_guesses,first_pass,solution_words,solution
248,cervi;erosi,OR cervi N erosi,Orcer;verneri,Orcer verneri
249,Verona;costo;Dallas;arpa,BA Verona S costo Dallas C I arpa,Bavero;nascosto;dalla;sciarpa,Bavero nascosto dalla sciarpa
250,in;armadio;ile;arma,in armadio B ile F arma CO,Inarmadiobile;farmaco,Inarmadiobile farmaco
251,Pisa;mura,CA Pisa mura I,Capi;samurai,Capi samurai
252,eredi;ha;parato;nate,OP eredi C ha parato S A N nate,Opere;di;Chopart;tosannate,Opere di Chopart tosannate
253,Ra;zio;Sam;sinai,G Ra zio Sam IS sinai NE,Graziosa;miss;insaine,Graziosa miss insaine
254,Alice;edera;divi,C Alice C edera divi NO,Calice;cedè;da;vino,Calice cedè da vino
255,chiesa;articoli;dee,chiesa G articoli E dee D A,Chi;è;sgarta;colie;d;ed,Chi è sgarta colie d'ed
256,sarde;idolo,CAU sarde idolo RI,Causar;dei;dolori,Causar dei dolori
257,ciocche;usa,B O C ciocche usa,Bocci;occhiusa,Bocci occhiusa
258,attiva;scolari,TR attiva scolari,Tratti;vascolari,Tratti vascolari
259,fede;copri;Giove;ovile,fede S copri N D AG Giove SC ovile,Fedescò;prì;darggiove;scovile,Fedescò prì darggiove scovile
260,oche;oca;osa;ovoide,CI oche P oca C osa POC ovoide,Ciò;ch;è;poca;cosa;poco;voide,Ciò ch'è poca cosa poco voide
261,unica;mina,T unica mina,Tunica;minata,Tunica minata
262,Verona;otre;tino,PO Verona N otre N tino,Povero;nano;trentino,Povero nano trentino
263,fa;Cile;indaco,fa Cile indaco FF,Facile;indaff,Facile indaff
264,monili;avi;giare;epe;colo,monili B B I avi A G giare epe R I colo SO,Monil;ibviav;giare episodio;e;pericoloso,Monil ibviav giare episodio e pericoloso
265,teda;eco;mici,S teda LI eco N O mici,Stedali;economici,Stedali economici
266,pie;arrossita;ale,I M pie G A arrossita T ale,Impiegare;rossitate,Impiegare rossitate
267,avidi;autobus;osti,G R avidi S autobus S C osti,Gravi;disautobus;scosti,Gravi disautobus scosti
268,fa;chiama;ori,fa L chiama T ori CO,Falchi;amatori,Falchi amatori
269,avidi;sordi,G R avidi sordi N I,Gravi;disordini,Gravi disordini
270,sciame;osa,PO sciame NZI osa,Posa;cimentiosa,Posa cimentiosa
271,faro;pere;dotati;ali,faro pere dotati ali,Far;opere;dotati,Far opere dotati
272,tarme;are;avi;lenza,tarme M E N T are L avi O lenza,Tar;mantenare;la;violenza,Tar mantenare la violenza!
273,spia;capace,spia LI capace,Spialica;pace,Spialica pace
274,avi;nani,C HI avi nani R I,Chiavinani;rii,Chiavinani rii
275,ultime;di;ali,C ultime di E V ali,Culti;medievali,Culti medievali
276,Asti;Anco;Ario,B Asti Anco N TR Ario,Bastian;contrario,Bastian contrario
277,grano;rana,SA grano ST rana,Sagra;nostrana,Sagra nostrana
278,sarda;re,VER sarda BE re,Versar;da;bere,Versar da bere
279,buca;cavi;liana,buca LI cavi R G I liana,Bucalica;virgiliana,Bucalica virgiliana
280,est;erica,ON est erica TTA,Oneste;ricatta,Oneste ricatta
281,vele;Idra;coni,N O vele GG Idra coni AN E,Nove;leggi;draconiane,Nove leggi draconiane
282,Al;opea;teso;riso,Al C opea N teso R riso,Alcopeantes;orriso,Alcopeantes orriso
283,sedia;carico;data,DA sedia RI carico R data,Dase;diarica;ricordata,Dase diarica ricordata
284,api;cola;sarda,U N api C cola M AN sarda,Una;piccola;mansarda,Una piccola mansarda
285,para;sarde,para FRA sarde T TI,Parafrasar;detti,Parafrasar detti
286,remi;Ariosto;tana,T remi Ariosto N tana TI,Tre;mia;riostantani,Tre mia riostantani
287,esca;anelli;ossa,P esca R E anelli G ossa,Pescare;anelli;gossosa,Pescare anelli gossosa
288,amo;tra;colletti;scafi;usci,UN amo S tra colletti scafi usci T A,Una;mostra;collettisca;fiuscita,Una mostra collettisca fiuscita
289,Cooper;resi;lista,Cooper O resi M BO lista,Cooperò;resimbolista,Cooperò resimbolista
290,care;tomi,GI O care tomi V E,Giocare;tomi;vive,Giocare tomi vive
291,ortica;nidi;laghetto,C ortica LZO nidi FU laghetto,Corti;calzoni;di;foulagheto,Corti calzoni di foulagheto
292,aria;Senti,F aria LO Senti,Fari;alosenti,Fari alosenti
293,Cooper;rea;ratto,Cooper O rea S T ratto,Cooperò;ratratto,Cooperò ratratto
294,maniero;are,maniero S O F are,Manieroso;fare,Manieroso fare
295,in;catino,in TRI catino DI,Intricati;nodi,Intricati nodi
296,loto;neo;nato,P loto neo R DI nato,Plonato;ordinato,Plonato ordinato
297,orto;nidi;lago,P orto nidi C A lago,Portoni;di;calago,Portoni di calago
298,schede;Pan;alone,TA schede I Pan T alone,Tasche;dei;pantalone,Tasche dei pantalone
299,martini;tino,ME martini S tino,Mema;ristinito,Mema ristinito
300,Pan;Era,NO IO Pan T Era,Noiopa;nutтера,Noiopa nuttera
301,artemide;ami,D artemide S ami,Dar;temi;d;esami,Dar temi d'esami
302,edera;danza;Tampa,CHI edera LFI danza TO Tampa,Chieder;al;fidanzato;Ta;Pan,Chieder al fidanzato: Ta Pan?
303,agave;rame;tela,P agave rame N tela UTA,Paga;veramente;lauta,Paga veramente lauta
304,ari;lessi;ile,O R ari OF lessi B ile,Orario;lessibile,Orario lessibile
305,asse;ile;nodi;canto,C asse D ile G nodi CA canto,Casse;di;legno;di;cacanto,Casse di legno di cacanto
306,asso;eco;Elle;ara;conta,SP asso eco RZ Elle TT ara C conta T A,Spassoe;corzelletta;raccontata,Spassoe corzelletta raccontata
307,sir;ora;mento,sir IO S ora PI mento,Sirioso;rapimento,Sirioso rapimento
308,Scott;ree;letti,Scott O ree C letti CO,Scottore;eclettico,Scottore eclettico
309,versi;nidi;rossi,IN versi O nidi rossi A,Inversioni;di;rossia,Inversioni di rossia
310,Verona;talea;Io,PO Verona talea BET L Io,Povero;natale;a;Betlìo,Povero natale a Betlìo
311,mici;avo;Ontario,O mici D avo L Ontario,Omicida;volontario,Omicida volontario
312,capi;oche;iene;alloro,capi T AN oche V iene DA LL alloro TTA,Capitano;che;viene;dalla;Lorotta,Capitano che viene dalla Lorotta
313,foro;cavi;ione,foro L I cavi S ione,Forolica;visione,Forolica visione
314,activa;in;in;azione,C activa in CL in azione,Cactiva;inclinazione,Cactiva inclinazione
315,asso;Raffaele,SP asso RIE,Spassori;esterni,Spassori esterni
316,cisterna;etti,PA cisterna N N etti,Pacist;rinnetti,Pacist rinnetti
317,acanto;tosa,PL acanto N tosa,Placa;tantoosa,Placa tantoosa
318,cast;la;Tati,cast ELL: la SI Tati,Castelli;lasciati,Castelli lasciati
319,papi;ogiva;enti,papi R O L ogiva L enti,Pirorogivi;valenti,Pirorogivi valenti
320,lift;nodi;laghetto,TA lift nodi C A laghetto,Talifondo;di;calagheto,Talifondo di calagheto
321,lord;vela,lord IS vela TI,Lordiss;velati,Lordiss velati
322,vivaio,GA vivaio,Gavi;vaio,Gavi vaio
323,Acca;Daytona;are,Acca DE Daytona L IT are,Accadèdà;talitare,Accadèdà talitare
324,marcia;pere,A marcia M pere,Amarc;ampere,Amarc ampere
325,lidi;con;orme;or,V A lidi con orme T T or,Validi;conformatore,Validi conformatore
326,iro;vate;esca,V iro DO vate D esca,Viro;dovate;desca,Viro dovate desca
327,tra;sci,tra sci G I A,Trasc;igia,Trasc igia
328,anitra;gin;lidi;seri,P anitra RI gin A lidi seri A L,Pani;tariginali;di;Serial,Pani tariginali di Serial
329,Ro;dotto;terno;sire,P Ro dotto IN terno sire O,Prodotto;interno;sireo,Prodotto interno sireo
330,Ra;zio;Sam;sesto,G Ra zio Sam IS sesto NE,Graziosa;miss;estone,Graziosa miss estone
331,testa;para;ultime;ali,testa RA P para TI M ultime DI ali,Testar;apparati;militare,Testar apparati militare
332,la;mimosa;gomito,A la mimosa N gomito,Alamim;osangomito,Alamim osangomito
333,leva;dita,PRI leva E dita,Prive;vaedita;tata,Prive vaedita tata
334,orme;di;carene;capre,E N orme di carene capre C O L O,Enorme;dicarene;caprecolo,Enorme dicarene caprecolo
335,iris;edile;Giona,P iris N edile Giona RI,Pirisne;di;legionari,Pirisne di legionari
336,api;asso,TUR api asso SA,Turpa;piassosa,Turpa piassosa
337,aratro;rei;pia;odi;Erato,S aratro rei NU N pia NT odi SP Erato,Saratrorei;un;pi;antodi;sperato,Saratrorei un pi antodi sperato
338,inesorabili;tacchi,GR inesorabili S tacchi,Grine;sorabili,Grine sorabili
339,est;arpe;lessi,D est arpe R P lessi T A,Destar;perplessità,Destar perplessità
340,pipe;siero;sieri;lessi,TI pipe N siero sieri F lessi VI,Tipi;pensierosi;e;riflessivi,Tipi pensierosi e riflessivi
341,parete;ala,ZAP parete R ala,Zappare;terra;là,Zappare terra là
342,case;lario;nati,case L lario R D I nati,Casellari;ordinati,Casellari ordinati
343,federa;amaro,federa FF amaro SI,Fede;raffamarosi,Fede raffamarosi
344,Ero;cobra;Pellico;etti;ari;arsi,Ero I C cobra P Pellico STR etti ari T IR arsi,Eroico;cobrappe;licostretti;a;ritirarsi,Eroico cobrappe licostretti a ritirarsi
345,secco;osa;in,secco I osa F in E,Secchioosa;fine,Secchioosa fine
346,rotella;nata,BI rotella PA nata,Birotell;panata,Birotell panata
347,macellai;sci,T O macellai sci A,Tomacè;lascià,Tomacè lascià
348,Magnani;Daytona;coni,Magnani Daytona coni,Magnanida;tonaconi,Magnanida tonaconi
349,Sam;Diana;oche;remo,E Sam IN Diana P oche remo TE,Esaminar;iani;a;pochè;remote,Esaminar iani a' pochè remote
350,orme;di;sesto,EN orme di S sesto,Enorme;dissesto,Enorme dissesto
351,ambi;stria;rei,GR ambi S A stria E rei,Grambi;sastrii;aerei,Grambi sastrii aerei
352,Ra;dotto;Vega,P Ra dotto Vega NO,Pradotto;vegano,Pradotto vegano
353,grano;ile,N E grano B ile,Negra;nobile,Negra nobile
354,toro;redi;denti,S toro redi P EN denti,Storodipendi;pendenti,Storodipendi pendenti
355,Elena;dito,ALB Elena RI dito,Albela;renditito,Albela renditito
356,oca;tori;mas;vello;peri,GI oca tori O R mas vello SU peri ORE,Giocatori;ormar;a;svolpe;rioperio,Giocatori ormar a svolpe rioperio
357,passa;agli;ad;mosche;dita,passa C agli ad I mosche N E dita,Passacaglia;di;Mosco;Henedita,Passacaglia di Mosco Henedita
358,leva;randello,ULTi leva DiPi randello,Ultile;vadipirà;di;Randello,Ultile vadipirà di Randello
359,veli;articoli;asso,B RE veli T I articoli asso SO,Breve;litario;collassoso,Breve litario collassoso
360,nane;are;nani,CA nane LL are nani A,Cananela;renan;ananía,Cananela renan ananía
361,Ra;artemide;api;Urano;Ra,T Ra TT artemide LL api TT Urano ST Ra,Trattar;temi;della;pittura;nostra,Trattar temi della pittura nostra
362,arie;still;con;erma,S arie still con F erma,Sieristil;conferma,Sieristil conferma
363,pinna;osti,pinna S C osti,Pin;nascosti,Pin nascosti
364,epe;colo;re;Ares;chiavi;le;ladro,epe R I colo SO re S T Ares chiavi le ladro G A,È;pericoloso;restare;schiavi;delle;droga,È pericoloso restare schiavi delle droga
365,Diogene;federe;ori,STU Diogene R I federe N ori,Studio;generale;res;enormi,Studio generale res enormi
366,su;sardina;nidi;tesa,su A sardina N nidi N tesa,Suasardi;nanni;d;intesa,Suasardi nanni d'intesa
367,ontano;tea;pica,P ontano NI tea TI pica,Pontanoni;taitipica,Pontanoni taitipica
368,sardina;su,EVI sardina su RE,Evisardi;nasure,Evisardi nasure
369,sardina;menti,EVI sardina D I menti,Evisardi;namenti,Evisardi namenti
370,mas;menta;telo;dio,mas menta telo dio,Mas;mentatelo;d;Iodio,Mas mentatelo d'Iodio
371,duca;scola;etto,duca O RE scola GH etto,Ducaoresco;laghetto,Ducaoresco laghetto
372,lepri;vile,U TI lepri vile GIO,Utile;privilegio,Utile privilegio
373,aglio;in;Erie,SB aglio in VOL Erie,Sbaglio;involerie,Sbaglio involerie
374,marcia;con;proiettile,marcia con proiettile,Marcia;con proiettile,Marcia con proiettile
375,papi;onde;zio,papi LL onde LI zio SO,Pipillon;delizioso,Pipillon delizioso
376,Cile;per;esca;filo;vaglia;cono;ceri;nidi;azza,EFA Cile per esca filo D I vaglia cono S ceri C A nidi R azza,È;facile;per;es;caffilodì;va;giacon;oscerici;a;nidi;ra;zza;È;facle;per;es;caffilodì;va;g,È facile per es caffilodì va giacon oscerici a nidi ra zza
377,Levi;eco,Levi O eco RCA,Levioeco;rcca,Levioeco rcca
378,Boccia;rape;ante,Boccia T U rape S ante,Bocciatura;pesante,Bocciatura pesante
379,la;pinna;Ural,la pinna T Ural E,Lapi;nuturale,Lapi nuturale
380,Scott;Reno,Scott O Reno TO,Scottore;noto,Scottore noto
381,urla;ori;tori;ari,urla T ori A U tori T ari,Urlatori;autoritari,Urlatori autoritari
382,federe;timoni,PA L federe S timoni,Palfe;del;Estrimoni,Palfe del Estrimoni
383,boccia;trave;mici,BIS boccia trave R IA mici,Bisbocciar;tra;veri;amici,Bisbocciar tra veri amici
384,pero;osa,MOS pero NZI osa,Mospe;ronziosa,Mospe ronziosa
385,asso;etti;orchi,C asso N etti S P orchi,Cassonetti;sporchi,Cassonetti sporchi
386,vuote;ginestra,A vuote MI ginestra,Avuote;mig;inestra,Avuote mig inestra
387,pinna;lidi;reti,pinna CO lidi M I NA reti,Pinacolidi;mi;naretini,Pinacolidi mi naretini
388,sarda;rospi;orcio,PAS sarda VE rospi L orcio,Passar;da;vero;spilorcio,Passar da vero spilorcio
389,cono;Daytona;orata,E cono Daytona G LI orata,Economa;tonagliorata,Economa tonagliorata
390,spia;asce;avi;liana,spia LIC asce N avi RG I liana,Spialica;scena;virgiliana,Spialica scena virgiliana
391,tuba;ras;traina,tuba T U ras traina TA,Tubatura;strainata,Tubatura strainata
392,aro;ali,AS aro NT R ali,Asaron;tralizi,Asaron tralizi
393,la;Pan;Era,la G N O Pan T Era,Lagnopa;tardera,Lagnopa tardera
394,corta;dono,S corta dono RE,Scorta;d;onore,Scorta d'onore
395,armadietto;maestro;ed;agli,armadietto maestro R ed I agli O,Armadietto;mai;estrerò;di;aglio,Armadietto mai estrerò di aglio
396,nero;sali,nero sali SA,Nero;salì,Nero salì
397,perso;lesa;Ario,perso N A lesa NIT Ario,Personale;sanitario,Personale sanitario
398,malesi;Asia;malesi;Asia;malesi;Asia;malesi;Asia,S E malesi FA Asia,Se;male;si;fa;Asia;in;A;Se;male;si;fa;Asia;in;A;Se;male;si;fa;Asia;in;A,"Se male si fa, Asia in A"
399,lord;sol;To,lord OI N sol To O,Lordino;solitario,Lordino solitario
400,ostia;urne,PAS ostia T T urne,Pasostia;tturne,Pasostia tturne
401,star;dito,SI star CI dito,Sistar;ciditoto,Sistar ciditoto
402,losca;foca;Zero,losca foca Zero,Lo;scafò;cavero,Lo scafò cavero
403,nero;crini;radio;Po;tori,U nero I crini E radio P Po SI tori,Un;eroici;riniere;ad;oppositori,Un'eroici riniere ad oppositori
404,tre;uovo;Ontario,S tre N uovo L Ontario,Strenuo;volontario,Strenuo volontario
405,legge;api;ossa,legge R api U ossa GI A,Leggera;piuosa;giaia,Leggera piuosa giaia
406,campanello;asse;Ati,campanello N asse G N Ati,Campa;nel;nostagni,Campa nel nostagni
407,in;Audi;testo;ed;Qui;lenza,in Audi testo RI ed Qui O lenza,Inaudite;storie;di;Quiolenza,Inaudite storie di Quiolenza
408,ad;dotto;oste;ile,P ad dotto S oste NIB ile,Paddotto;sostenibile,Paddotto sostenibile
409,ostia,NIS ostia,Nisosti;aia,Nisosti aia
410,sacco;Dell;Ob,CO sacco Dell Ob,Cosacco;del;Ob,Cosacco del Ob
411,tomo;sedia;azza,AU tomo sedia R azza TE,Automossee;razzate,Automossee razzate
412,artemide;rosi,F artemide C O rosi,Far;temi;decorosi,Far temi decorosi
413,tori;duna;rosa;moli,S tori E duna LTE rosa moli I,Storie;d;un;altero;samolii,Storie d'un altero samolii
414,in;risotto;corta,M in IST risotto S corta,Ministri;sotto;scorta,Ministri sotto scorta
415,basto;neve;vile,IL basto neve S CO vile,Il;bastone;vescovile,Il bastone vescovile
416,camere;ante,BOC camere U M ante,Bocca;meramente,Bocca meramente
417,faccia;mogia;conti;ontano;odi;mani,faccia mogia I conti C ontano N D odi D O mani,Facciamo;già;i;conti;con;tanno;dò;domani,Facciamo già i conti con tanno dò domani
418,mais;dio,mais dio,Mai;sodio,Mai sodio
419,arti;lario;ori,P arti CO lario D ori,Particolari;odori,Particolari odori
420,arpe;caraffa;avi,F arpe C caraffa N GR avi,Far;peccara;fra;gravi,Far peccara fra gravi
421,mento;satire;Ra,LA mento satire T E Ra,Lamentosa;tiretera,Lamentosa tiretera
422,secco;some;saggio,secco I O some S saggio,Secchiooso;messaggio,Secchiooso messaggio
423,eredi;onde,eredi LL onde T I,Eredillo;Dentit,Eredillo Dentit
424,dama;federe,dama S federe NDE,Damasse;dei;rende,Damasse dei rende
425,ro;dotto;ale,P ro dotto LOC ale,Prodotto;locale,Prodotto locale
426,coppia;sai;olenti,S coppia S sai VI olenti,Scoppi;assai;violenti,Scoppi assai violenti
427,gilet;anice;zio,A gilet OR anice zio NE,Agile;torani;ce;zione,Agile torani ce zione
428,Ra;dea;lido,G Ra N dea lido NO,Grande;ali;d;onono,Grande ali d'onono
429,api;dive;Cerere,C api dive S TI Cerere,Capi;di;vesticerere,Capi di vesticerere
430,gin;in;silos;ile,LO gin in silos B ile,Log;in;insilosbile,Log-in insilosbile
431,su;la;si;Volga,"su DIC, la si Volga RI",Sudica;lisi;volgari,Sudica lisi volgari
432,rovescio;Po;rovescio;pera;tiara,MO rovescio M Po NI rovescio M pera tiara TE,Morove;scomponitore;scomperati;a;rate,Morove scomponitore scomperati a rate
433,pesce;in;lobo;via,pesce in lobo LI via NO,Pe;seinlobo;liviano,Pe seinlobo liviano
434,arto;in;dotto,P arto in dotto,Parto;indotto,Parto indotto
435,Lazio;nei;onde,IL Lazio nei N F onde,Illazione;infonde,Illazione infonde
436,nave;trina;onda,U nave trina S F onda,Una;vetrina;sfonda,Una vetrina sfonda
437,eleganti;epa;trio,eleganti A R epa trio TI,Eleganti;aretrioti,Eleganti aretrioti
438,stole;email;posa,C O stole T email P posa,Costolette;impostosa,Costolette impostosa
439,Oglio;coli,Oglio S T A coli,Oggi;ostacoli,Oggi ostacoli
440,ariete;neri;Dan,C ariete neri S SI Dan CI,Cari;e;tenerissidi;ancisi,Cari e tenerissidi ancisi
441,rotti;rapa;oca;Enza,rotti A rapa SS oca D Enza TO,Rottiar;a;passo;cadenzato,Rottiar a passo cadenzato
442,unti;come;minino,unti P I come R minino,Un;tipico;merminino,Un tipico merminino
443,barba;crini,barba RI crini E RA,Barbarica;riniera,Barbarica riniera
444,odi;rame,RAM odi CA rame,Ramo;di;caramé,Ramo di caramé
445,fa;stie;motopirata,AF fa RI stie motopirata I,Affaristi;motori,Affaristi motori
446,treno;rivista;cappa;esche,treno V rivista cappa C C esche,Tre;novrivi;staccappacce,Tre novrivi staccappacce
447,mais;osa,NE mais I osa,Nemai;siosa,Nemai siosa
448,dama;cernia,LIN dama N cernia,Linda;mancernia,Linda mancernia
449,anca;Ivano,C anca NF Ivano,Cancan;fianvò,Cancan fianvò
450,mas;pia;ceri;dio;mas;pia;ceri;dio;mas;pia;ceri;dio,mas N O pia ceri M E dio,Mas;n;o;piacer;i;m;edio;Mas;n;o;piacer;i;m;edio;Mas;n;o,Mas n o' piacer i' m edio
451,are;est;barba,D are L est REM barba,Dare;l;estremo;barba,Dare l'estremo barba
452,rei;esili,rei N esili O,Re;in;esilio,Re in esilio
453,pini;nei;aura,O pini O nei NF aura,Opinione;infaura,Opinione infaura
454,taglia;in;vile,GE N taglia in C I vile,Gentaglia;incisive,Gentaglia incisive
455,ava;ile;nodi;vasca,T ava D ile G nodi CA vasca,Tavadi;le;gnodi;ca;vasca,Tavadi le gnodi ca vasca
456,pirati;lato,pirati M U lato,Pira;timulato,Pira timulato
457,marcia;proiettile,marcia I N proiettile,Marcia;inproiettile,Marcia inproiettile
458,papi;istrici,papi L istrici N DY,Pilistri;cindy,Pilistri cindy
459,anta;neo,C anta N neo CK,Cantanne;ock,Cantanne ock
460,lumi;con;ove,lumi L E con V ove O,L;umile;convoveo,L'umile convoveo
461,ossi;balla;rom;si,P ossi balla M P rom ES si,Possiball;ampromessi,Possiball ampromessi
462,toc;portico;Ario,VO toc portico T R Ario,Voto;porticotra,Voto porticotra
463,re;si;neo;arrossa;cari;Eva,P re S si O neo R arrossa TI cari L Eva TA,Pressione;orarrossati;calleva,Pressione orarrossati calleva
464,sarda;pesa,PAS sarda pesa RO,Passar;da;Pesaro,Passar da Pesaro
465,sci;star;teso,sci O P star T teso,Sciopstar;tetteso,Sciopstar tetteso
466,chiama;Fred,LUS chiama F Fred,Lusci;amaffred,Lusci amaffred
467,araba;dadi;Einaudi;domino,S araba N dadi Einaudi N domino RE,Sarabadad;ai;nei;un;dì;dominore,Sarabadad ai nei un dì dominore
468,vile;giostra,PRI vile giostra NO,Privilegio;strano,Privilegio strano
469,tris;coppia,VE tris coppia TI,Vetri;scoppiati,Vetri scoppiati
470,riva;rese;rei;Ario,AR riva rese MP rei N O R Ario,Arrivare;sempre;in;orario,Arrivare sempre in orario
471,lari;bocca;esca,lari M A bocca CC esca,La;rima;bocccesca,La rima bocccesca
472,Pi;grano;ami;lane,Pi grano N N ami lane S E,Pigra;nonna;milanese,Pigra nonna milanese
473,rossi;errati,APP rossi errati FR E,Approssier;attire,Approssier attire
474,manovella,RA manovella,Rama;novella,Rama novella
475,anonimi;oli;lato,D I anonimi oli VEL lato,Dianoni;miovellato,Dianoni miovellato
476,tic;Al,MEN tic Al E,Menti;calese,Menti calese
477,ostia;chiare,SCU ostia N chiare,Scuostia;chi;ariale,Scuostia chi ariale
478,asini;rada;ossa,U N asini ST rada ossa GI A,Una;sinistra;dao;sagia,Una sinistra dao sagia
479,via;giardino;monili,via G giardino TTE monili VE,Viaggiar;di;notte;monil;Ive,Viaggiar di notte monil Ive
480,alce;cicala,C alce cicala TA,Calce;calata,Calce calata
481,are;Ariosto;tana,TU are Ariosto N tana TI,Tuarea;riportantani,Tuarea riportantani
482,dotta;menta,CON dotta F menta,Condotta;fomenta,Condotta fomenta
483,uovo;la,N uovo CA la,Nuovo;cala,Nuovo cala
484,belli;eco;aratri,belli CO eco RB aratri BU,Bellicoe;corbarà;tribù,Bellicoe corbarà tribù
485,con;nani;Era,con FU nani T Era,Confuna;nitera,Confuna nitera
486,in;serio;ali,in serio N ali,Insi;onali,Insi onali
487,cunei;Eris;otto,cunei NT Eris otto,Cuneinter;isotto,Cuneinter isotto
488,ha;fallita;liana,ha F fallita liana,Haffa;all;italiana,Haffa all'italiana
489,lessi;ami;are,lessi C O F ami G LI are,Lessico;famigliare,Lessico famigliare
490,radi;uomini,OPE radi uomini TTE,Opera;di;uominitte,Opera di uominitte
491,nane;mici;sedia;Ti,C A nane mici A S sedia Ti,Cananemi;ciasse;diatitii,Cananemi ciasse diatitii
492,anta;nidi;laghetto,P anta L O nidi FU laghetto,Pantaloni;di;foulaghet,Pantaloni di foulaghet
493,elsa;foro,B elsa M foro,Bel;samforo,Bel samforo
494,Boudriot;asso,BIM Boudriot asso SA,Bimbo;diotassosa,Bimbo diotassosa
495,nato;rane,U nato rane S A,Una;torana;nesa,Una torana nesa
496,papera;tori,OP papera V A tori,Oppaper;avatori,Oppaper avatori
497,idea;mini;ria,S idea mini STE ria LE,Sieder;aministeriale,Sieder aministeriale
498,colo;biche;mais,colo M biche M I mais,Colombi;che;mimiamis,Colombi che mimiamis
499,dotto;stato,PRO dotto TE stato,Prodotto;testato,Prodotto testato
500,diritto;vile,diritto C I vile,Diritto;civile,Diritto civile
501,tra;vaglia;la,tra vaglia la RIA,Travagliala;ria,Travagliala ria
502,oli;nodi;rossi,RU oli nodi rossi A,Ruolino;di;rossia,Ruolino di rossia
503,carta;mento;dotto,S carta mento R I dotto,Scartamento;ridotto,Scartamento ridotto
